expected_dep_min,dep_delay_min,date
864,888.0,2025-10-07
830,,2025-10-07
835,857.0,2025-10-07
836,851.0,2025-10-07
840,,2025-10-07
840,,2025-10-07
864,888.0,2025-10-07
816,855.0,2025-10-07
818,840.0,2025-10-07
820,,2025-10-07
821,,2025-10-07
822,,2025-10-07
823,909.0,2025-10-07
830,,2025-10-07
835,857.0,2025-10-07
836,851.0,2025-10-07
810,,2025-10-07
812,,2025-10-07
812,,2025-10-07
813,,2025-10-07
813,,2025-10-07
813,,2025-10-07
816,855.0,2025-10-07
818,840.0,2025-10-07
820,,2025-10-07
821,,2025-10-07
804,,2025-10-07
805,,2025-10-07
805,,2025-10-07
809,,2025-10-07
809,,2025-10-07
810,,2025-10-07
810,,2025-10-07
812,,2025-10-07
812,,2025-10-07
813,,2025-10-07
795,,2025-10-07
795,,2025-10-07
797,,2025-10-07
800,,2025-10-07
802,846.0,2025-10-07
803,,2025-10-07
804,,2025-10-07
805,,2025-10-07
805,,2025-10-07
809,,2025-10-07
788,,2025-10-07
789,,2025-10-07
791,,2025-10-07
793,,2025-10-07
794,,2025-10-07
795,,2025-10-07
795,,2025-10-07
795,,2025-10-07
797,,2025-10-07
800,,2025-10-07
775,,2025-10-07
780,,2025-10-07
780,,2025-10-07
782,,2025-10-07
786,,2025-10-07
788,,2025-10-07
788,,2025-10-07
789,,2025-10-07
791,,2025-10-07
793,,2025-10-07
771,,2025-10-07
772,,2025-10-07
772,,2025-10-07
773,,2025-10-07
775,,2025-10-07
775,,2025-10-07
775,,2025-10-07
780,,2025-10-07
780,,2025-10-07
782,,2025-10-07
763,,2025-10-07
763,,2025-10-07
764,,2025-10-07
764,,2025-10-07
767,,2025-10-07
767,,2025-10-07
771,,2025-10-07
772,,2025-10-07
772,,2025-10-07
773,,2025-10-07
759,,2025-10-07
759,,2025-10-07
760,,2025-10-07
760,,2025-10-07
760,,2025-10-07
761,,2025-10-07
763,,2025-10-07
763,,2025-10-07
764,,2025-10-07
764,,2025-10-07
755,,2025-10-07
755,,2025-10-07
755,,2025-10-07
756,,2025-10-07
756,,2025-10-07
756,,2025-10-07
759,,2025-10-07
759,,2025-10-07
760,,2025-10-07
760,,2025-10-07
750,,2025-10-07
750,,2025-10-07
750,,2025-10-07
751,,2025-10-07
752,,2025-10-07
754,,2025-10-07
755,,2025-10-07
755,,2025-10-07
755,,2025-10-07
756,,2025-10-07
750,,2025-10-07
750,,2025-10-07
750,,2025-10-07
750,,2025-10-07
750,,2025-10-07
750,,2025-10-07
750,,2025-10-07
750,,2025-10-07
750,,2025-10-07
751,,2025-10-07
745,,2025-10-07
747,,2025-10-07
749,,2025-10-07
749,,2025-10-07
749,,2025-10-07
750,810.0,2025-10-07
750,,2025-10-07
750,,2025-10-07
750,,2025-10-07
750,,2025-10-07
745,,2025-10-07
745,,2025-10-07
745,,2025-10-07
745,,2025-10-07
745,,2025-10-07
745,,2025-10-07
745,,2025-10-07
747,,2025-10-07
749,,2025-10-07
749,,2025-10-07
741,,2025-10-07
741,,2025-10-07
742,,2025-10-07
743,,2025-10-07
744,,2025-10-07
745,,2025-10-07
745,,2025-10-07
745,,2025-10-07
745,,2025-10-07
745,,2025-10-07
740,,2025-10-07
740,,2025-10-07
740,,2025-10-07
740,,2025-10-07
741,,2025-10-07
741,,2025-10-07
741,,2025-10-07
741,,2025-10-07
742,,2025-10-07
743,,2025-10-07
739,,2025-10-07
739,,2025-10-07
739,,2025-10-07
739,,2025-10-07
740,,2025-10-07
740,,2025-10-07
740,,2025-10-07
740,,2025-10-07
740,,2025-10-07
740,,2025-10-07
739,,2025-10-07
739,,2025-10-07
739,,2025-10-07
739,,2025-10-07
739,,2025-10-07
739,,2025-10-07
739,,2025-10-07
739,,2025-10-07
739,,2025-10-07
739,,2025-10-07
735,,2025-10-07
735,,2025-10-07
739,,2025-10-07
739,,2025-10-07
739,,2025-10-07
739,,2025-10-07
739,,2025-10-07
739,,2025-10-07
739,,2025-10-07
739,,2025-10-07
724,,2025-10-07
729,,2025-10-07
733,,2025-10-07
735,760.0,2025-10-07
735,,2025-10-07
735,,2025-10-07
739,,2025-10-07
739,,2025-10-07
628,678.0,2025-10-07
661,765.0,2025-10-07
685,780.0,2025-10-07
685,758.0,2025-10-07
692,750.0,2025-10-07
724,,2025-10-07
729,,2025-10-07
495,600.0,2025-10-07
505,610.0,2025-10-07
510,580.0,2025-10-07
579,636.0,2025-10-07
628,678.0,2025-10-07
661,765.0,2025-10-07
685,780.0,2025-10-07
424,505.0,2025-10-07
495,600.0,2025-10-07
505,610.0,2025-10-07
510,580.0,2025-10-07
579,636.0,2025-10-07
628,678.0,2025-10-07
661,765.0,2025-10-07
